,town_code,agas_code,town,date,year,style_code,under_60,over_60,daily_cases,daily_recoveries,daily_hospitalized,daily_deaths,daily_diagnostic_tests,daily_vaccination_first_dose,daily_vaccination_second_dose,daily_vaccination_third_dose,latitude,longitude,week_of_year
1122325,8900,9999,טמרה,2022-01-23,2022,260,32317.0,3518.0,479,536,2,0,1658,6,6,9,32.8552512,35.1859141,3
1122590,531,9999,עראבה,2022-01-24,2022,260,24878.0,2238.0,471,249,2,0,1750,9,2,6,32.8530087,35.3361947,4
1122725,1200,34,מודיעין-מכבים-רעות,2022-01-24,2022,150,8325.0,713.0,116,93,15,0,444,1,5,10,31.888235,35.02302299999999,4
1123688,7500,9999,סח'נין,2022-01-24,2022,260,30194.0,2994.0,583,399,2,0,2090,3,11,9,32.8621403,35.2996234,4
1123835,8300,523,ראשון לציון,2022-01-24,2022,130,3391.0,1080.0,50,58,15,0,235,0,5,3,31.95908129999999,34.8020886,4
1123966,8900,9999,טמרה,2022-01-24,2022,260,32317.0,3518.0,510,469,2,1,1552,3,5,3,32.8552512,35.1859141,4
1124231,531,9999,עראבה,2022-01-25,2022,260,24878.0,2238.0,376,224,2,0,1380,1,3,5,32.8530087,35.3361947,4
1126970,7500,9999,סח'נין,2022-01-26,2022,260,30194.0,2994.0,375,586,3,0,1308,1,0,5,32.8621403,35.2996234,4
1127248,8900,9999,טמרה,2022-01-26,2022,260,32317.0,3518.0,322,457,1,0,1161,2,4,4,32.8552512,35.1859141,4
1128611,7500,9999,סח'נין,2022-01-27,2022,260,30194.0,2994.0,432,456,1,0,1300,4,11,11,32.8621403,35.2996234,4
1133812,8900,9999,טמרה,2022-01-30,2022,260,32317.0,3518.0,286,379,2,0,985,1,6,4,32.8552512,35.1859141,4
1134077,531,9999,עראבה,2022-01-31,2022,260,24878.0,2238.0,213,356,2,0,988,0,6,5,32.8530087,35.3361947,5
1135175,7500,9999,סח'נין,2022-01-31,2022,260,30194.0,2994.0,386,374,2,0,1015,0,5,2,32.8621403,35.2996234,5
